Assignement,Charge,Elemental composition,Mass
d9,8-,C96H123N32O49P9S9,383.283244
x9,8-,C96H120N38O45P9S9,385.410158
b7,6-,C76H98N22O39P6S6,385.711249
c1,1-,C12H15N5O6P1S1,387.04079
w9,8-,C96H121N38O46P9S9,387.5355
z7,6-,C76H96N28O35P6S6,388.715104
c8,7-,C86H110N27O44P8S8,388.747961
d8,7-,C86H111N27O45P8S8,391.176923
y7,6-,C76H96N28O36P6S6,391.380924
x8,7-,C86H108N33O41P8S8,393.607682
a6,5-,C66H85N20O32P5S5,395.851332
w8,7-,C86H109N33O42P8S8,396.036645
c7,6-,C76H98N22O40P7S7,398.86804
b6,5-,C66H85N20O33P5S5,399.050315
a11,9-,C116H147N39O56P10S10,400.264248
d7,6-,C76H99N22O41P7S7,401.70183
b11,9-,C116H147N39O57P10S10,402.04146
z6,5-,C66H83N26O29P5S5,402.654942
z11,9-,C116H147N43O54P10S10,402.93341
d1,1-,C12H16N5O7P1S1,404.04353
x7,6-,C76H96N28O37P7S7,404.537715
y11,9-,C116H147N43O55P10S10,404.710623
y6,5-,C66H83N26O30P5S5,405.853925
w7,6-,C76H97N28O38P7S7,407.371505
a10,8-,C106H135N34O52P9S9,409.293843
c11,9-,C116H147N39O58P11S11,410.812654
b10,8-,C106H135N34O53P9S9,411.293207
d11,9-,C116H148N39O59P11S11,412.701848
x11,9-,C116H147N43O56P11S11,413.481817
z10,8-,C106H133N40O49P9S9,413.546099
c6,5-,C66H85N20O34P6S6,414.838464
a5,4-,C56H71N17O27P4S4,415.306189
w11,9-,C116H148N43O57P11S11,415.371011
y10,8-,C106H133N40O50P9S9,415.545463
d6,5-,C66H86N20O35P6S6,418.239012
b5,4-,C56H71N17O28P4S4,419.304918
c10,8-,C106H135N34O54P10S10,421.160801
z5,4-,C56H71N21O25P4S4,421.311806
x6,5-,C66H83N26O31P6S6,421.642074
a9,7-,C96H122N32O46P8S8,422.190689
d10,8-,C106H136N34O55P10S10,423.286143
b9,7-,C96H122N32O47P8S8,424.475677
w6,5-,C66H84N26O32P6S6,425.042622
y5,4-,C56H71N21O26P4S4,425.310535
x10,8-,C106H133N40O51P10S10,425.413057
z9,7-,C96H120N38O43P8S8,427.050411
w10,8-,C106H134N40O52P10S10,427.538399
y9,7-,C96H120N38O44P8S8,429.335398
c9,7-,C96H122N32O48P9S9,435.752927
a8,6-,C86H110N27O42P7S7,437.884556
d9,7-,C96H123N32O49P9S9,438.181889
z12,9-,C126H160N45O60P11S11,438.491543
a12,9-,C126H159N44O61P11S11,438.600878
c5,4-,C56H71N17O29P5S5,439.040105
y12,9-,C126H160N45O61P11S11,440.268756
b12,9-,C126H159N44O62P11S11,440.378091
b8,6-,C86H110N27O43P7S7,440.550376
x9,7-,C96H120N38O45P9S9,440.612648
w9,7-,C96H121N38O46P9S9,443.041611
d5,4-,C56H72N17O30P5S5,443.29079
z8,6-,C86H108N33O39P7S7,443.554231
x5,4-,C56H71N21O27P5S5,445.045721
y8,6-,C86H108N33O40P7S7,446.220051
z4,3-,C46H59N16O20P3S3,447.074941
a4,3-,C46H58N15O21P3S3,447.402946
x12,9-,C126H160N45O62P12S12,449.03995
c12,9-,C126H159N44O63P12S12,449.149285
w5,4-,C56H72N21O28P5S5,449.296406
a11,8-,C116H147N39O56P10S10,450.423188
w12,9-,C126H161N45O63P12S12,450.929143
d12,9-,C126H160N44O64P12S12,451.038478
y4,3-,C46H59N16O21P3S3,452.406579
b11,8-,C116H147N39O57P10S10,452.422552
b4,3-,C46H58N15O22P3S3,452.734585
z11,8-,C116H147N43O54P10S10,453.425996
c8,6-,C86H110N27O44P8S8,453.707167
y11,8-,C116H147N43O55P10S10,455.425361
d8,6-,C86H111N27O45P8S8,456.540957
x8,6-,C86H108N33O41P8S8,459.376842
a7,5-,C76H98N22O38P6S6,459.855971
w8,6-,C86H109N33O42P8S8,462.210632
c11,8-,C116H147N39O58P11S11,462.290146
b7,5-,C76H98N22O39P6S6,463.054954
d11,8-,C116H148N39O59P11S11,464.415488
x11,8-,C116H147N43O56P11S11,465.292954
z7,5-,C76H96N28O35P6S6,466.659581
w11,8-,C116H148N43O57P11S11,467.418297
a10,7-,C106H135N34O52P9S9,467.908288
y7,5-,C76H96N28O36P6S6,469.858564
b10,7-,C106H135N34O53P9S9,470.193276
z10,7-,C106H133N40O49P9S9,472.76801
a13,9-,C136H173N47O66P12S12,474.049676
z13,9-,C136H173N47O66P12S12,474.049676
y10,7-,C106H133N40O50P9S9,475.052998
b13,9-,C136H173N47O67P12S12,475.826889
y13,9-,C136H173N47O67P12S12,475.826889
x4,3-,C46H59N16O22P4S4,478.720162
c7,5-,C76H98N22O40P7S7,478.843103
c4,3-,C46H58N15O23P4S4,479.048167
c10,7-,C106H135N34O54P10S10,481.470526
d7,5-,C76H99N22O41P7S7,482.243651
d10,7-,C106H136N34O55P10S10,483.899489
w4,3-,C46H60N16O23P4S4,484.387742
x13,9-,C136H173N47O68P13S13,484.598083
c13,9-,C136H173N47O68P13S13,484.598083
d4,3-,C46H59N15O24P4S4,484.715747
x7,5-,C76H96N28O37P7S7,485.646713
x10,7-,C106H133N40O51P10S10,486.330247
w13,9-,C136H174N47O69P13S13,486.487276
d13,9-,C136H174N47O69P13S13,486.487276
w10,7-,C106H134N40O52P10S10,488.75921
w7,5-,C76H97N28O38P7S7,489.047261
a9,6-,C96H122N32O46P8S8,492.723683
z12,8-,C126H160N45O60P11S11,493.428896
a12,8-,C126H159N44O61P11S11,493.551898
a6,4-,C66H85N20O32P5S5,495.065984
b9,6-,C96H122N32O47P8S8,495.389503
y12,8-,C126H160N45O61P11S11,495.42826
b12,8-,C126H159N44O62P11S11,495.551262
z9,6-,C96H120N38O43P8S8,498.393358
b6,4-,C66H85N20O33P5S5,499.064713
y9,6-,C96H120N38O44P8S8,501.059178
z6,4-,C66H83N26O29P5S5,503.570496
x12,8-,C126H160N45O62P12S12,505.295853
c12,8-,C126H159N44O63P12S12,505.418855
w12,8-,C126H161N45O63P12S12,507.421196
d12,8-,C126H160N44O64P12S12,507.544198
y6,4-,C66H83N26O30P5S5,507.569225
c9,6-,C96H122N32O48P9S9,508.546294
d9,6-,C96H123N32O49P9S9,511.380084
